Series,Allocated to
XNA - XNZ,Canada
XOA - XOZ,Canada
XPA - XPZ,Denmark
XQA - XQZ,Chile
XRA - XRZ,Chile
XSA - XSZ,China
XTA - XTZ,Burkina Faso
XUA - XUZ,Cambodia
XVA - XVZ,Viet Nam
XWA - XWZ,Lao People's Democratic Republic
XXA - XXZ,China - Macao
XYA - XYZ,Myanmar
XZA - XZZ,Myanmar
Y2A - Y2Z,Germany
Y3A - Y3Z,Germany
Y4A - Y4Z,Germany
Y5A - Y5Z,Germany
Y6A - Y6Z,Germany
Y7A - Y7Z,Germany
Y8A - Y8Z,Germany
Y9A - Y9Z,Germany
YAA - YAZ,Afghanistan
YBA - YBZ,Indonesia
YCA - YCZ,Indonesia
YDA - YDZ,Indonesia
YEA - YEZ,Indonesia
YFA - YFZ,Indonesia
YGA - YGZ,Indonesia
YHA - YHZ,Indonesia
YIA - YIZ,Iraq
YJA - YJZ,Vanuatu
YKA - YKZ,Syrian Arab Republic
YLA - YLZ,Latvia
YMA - YMZ,Republic of Türkiye
YNA - YNZ,Nicaragua
YOA - YOZ,Romania
YPA - YPZ,Romania
YQA - YQZ,Romania
YRA - YRZ,Romania
YSA - YSZ,El Salvador
YTA - YTZ,Serbia
YUA - YUZ,Serbia
YVA - YVZ,Venezuela (Bolivarian Republic of)
YWA - YWZ,Venezuela (Bolivarian Republic of)
YXA - YXZ,Venezuela (Bolivarian Republic of)
YYA - YYZ,Venezuela (Bolivarian Republic of)
Z2A - Z2Z,Zimbabwe
Z3A - Z3Z,North Macedonia
Z8A - Z8Z,South Sudan
ZAA - ZAZ,Albania
ZBA - ZBZ,United Kingdom of Great Britain and Northern Ireland
ZCA - ZCZ,United Kingdom of Great Britain and Northern Ireland
ZDA - ZDZ,United Kingdom of Great Britain and Northern Ireland
ZEA - ZEZ,United Kingdom of Great Britain and Northern Ireland
ZFA - ZFZ,United Kingdom of Great Britain and Northern Ireland
ZGA - ZGZ,United Kingdom of Great Britain and Northern Ireland
ZHA - ZHZ,United Kingdom of Great Britain and Northern Ireland
ZIA - ZIZ,United Kingdom of Great Britain and Northern Ireland
ZJA - ZJZ,United Kingdom of Great Britain and Northern Ireland
ZKA - ZKZ,New Zealand
ZLA - ZLZ,New Zealand
ZMA - ZMZ,New Zealand
ZNA - ZNZ,United Kingdom of Great Britain and Northern Ireland
ZOA - ZOZ,United Kingdom of Great Britain and Northern Ireland
ZPA - ZPZ,Paraguay
ZQA - ZQZ,United Kingdom of Great Britain and Northern Ireland
ZRA - ZRZ,South Africa
ZSA - ZSZ,South Africa
ZTA - ZTZ,South Africa
ZUA - ZUZ,South Africa
ZVA - ZVZ,Brazil
ZWA - ZWZ,Brazil
ZXA - ZXZ,Brazil
ZYA - ZYZ,Brazil
ZZA - ZZZ,Brazil
